이병규(7), LG, 0.326, 0.243, 0.370, 0.448, 0.818, 0.361, 1.06
김종호, NC, 0.338, 0.295, 0.364, 0.394, 0.758, 0.340, 1.03
조영훈, NC, 0.329, 0.282, 0.372, 0.540, 0.912, 0.389, 1.00
이명기, SK, 0.370, 0.315, 0.368, 0.397, 0.765, 0.343, 0.99
서상우, LG, 0.393, 0.340, 0.386, 0.503, 0.889, 0.387, 0.91
고종욱, 넥센, 0.366, 0.310, 0.358, 0.464, 0.822, 0.356, 0.90
손시헌, NC, 0.260, 0.245, 0.319, 0.398, 0.717, 0.316, 0.85
이종욱, NC, 0.315, 0.268, 0.351, 0.368, 0.719, 0.322, 0.84
백용환, KIA, 0.260, 0.234, 0.316, 0.468, 0.784, 0.336, 0.82
박헌도, 넥센, 0.289, 0.248, 0.371, 0.417, 0.788, 0.356, 0.81
최주환, 두산, 0.310, 0.282, 0.356, 0.429, 0.785, 0.343, 0.79
한나한, LG, 0.413, 0.327, 0.400, 0.523, 0.923, 0.397, 0.78
박기혁, kt, 0.384, 0.280, 0.350, 0.340, 0.690, 0.318, 0.78
임훈, LG, 0.355, 0.301, 0.386, 0.388, 0.774, 0.352, 0.77
모창민, NC, 0.352, 0.290, 0.340, 0.439, 0.779, 0.340, 0.76
장성우, 롯데, 0.257, 0.245, 0.309, 0.510, 0.819, 0.340, 0.76
김회성, 한화, 0.203, 0.209, 0.321, 0.484, 0.805, 0.343, 0.61
나지완, KIA, 0.318, 0.253, 0.378, 0.375, 0.753, 0.344, 0.58
김문호, 롯데, 0.350, 0.306, 0.368, 0.392, 0.760, 0.343, 0.56
이지영, 삼성, 0.327, 0.305, 0.333, 0.346, 0.679, 0.305, 0.55
진갑용*, 삼성, 0.333, 0.324, 0.356, 0.485, 0.841, 0.363, 0.52
장성호, kt, 0.354, 0.309, 0.421, 0.383, 0.804, 0.375, 0.52
안익훈, LG, 0.404, 0.339, 0.423, 0.403, 0.826, 0.378, 0.51
지석훈, NC, 0.311, 0.267, 0.328, 0.383, 0.711, 0.317, 0.51
고영민, 두산, 0.442, 0.328, 0.403, 0.478, 0.881, 0.388, 0.48
김선민, kt, 0.500, 0.429, 0.447, 0.486, 0.933, 0.412, 0.47
용덕한, NC, 0.353, 0.286, 0.375, 0.310, 0.685, 0.326, 0.44
정현석, 한화, 0.385, 0.310, 0.389, 0.388, 0.777, 0.353, 0.41
오승택, 롯데, 0.373, 0.275, 0.318, 0.410, 0.728, 0.318, 0.34
폭스, 한화, 0.303, 0.278, 0.339, 0.509, 0.848, 0.356, 0.33
강경학, 한화, 0.307, 0.257, 0.348, 0.325, 0.673, 0.311, 0.33
박진만, SK, 0.282, 0.248, 0.375, 0.331, 0.706, 0.333, 0.32
최희섭, KIA, 0.302, 0.256, 0.369, 0.424, 0.793, 0.357, 0.31
최재원, NC, 0.352, 0.247, 0.366, 0.412, 0.778, 0.350, 0.30
로메로, 두산, 0.259, 0.253, 0.328, 0.449, 0.777, 0.334, 0.28
안중열, 롯데, 0.347, 0.265, 0.305, 0.388, 0.693, 0.303, 0.26
박정준, NC, 0.500, 0.381, 0.458, 0.476, 0.934, 0.417, 0.25
김태군, NC, 0.293, 0.254, 0.307, 0.354, 0.661, 0.294, 0.25
조인성, 한화, 0.299, 0.232, 0.288, 0.391, 0.679, 0.296, 0.24
백창수, LG, 0.357, 0.323, 0.382, 0.452, 0.834, 0.369, 0.22
하준호, kt, 0.348, 0.271, 0.352, 0.381, 0.733, 0.330, 0.21
오정복, kt, 0.273, 0.259, 0.355, 0.377, 0.732, 0.333, 0.20
김민하, 롯데, 0.360, 0.241, 0.362, 0.319, 0.681, 0.324, 0.20
이홍구, KIA, 0.247, 0.216, 0.278, 0.432, 0.710, 0.301, 0.20
조평호, NC, 0.467, 0.364, 0.364, 0.591, 0.955, 0.401, 0.18
이성열, 한화, 0.357, 0.251, 0.333, 0.438, 0.771, 0.334, 0.17
조동화, SK, 0.318, 0.261, 0.351, 0.318, 0.669, 0.314, 0.16
박기남, KIA, 0.280, 0.203, 0.389, 0.246, 0.635, 0.328, 0.16
모건, 한화, 0.346, 0.273, 0.405, 0.333, 0.738, 0.350, 0.15
김기현, SK, 0.750, 0.429, 0.556, 0.429, 0.985, 0.470, 0.14
배영섭, 삼성, 0.500, 0.375, 0.444, 0.375, 0.819, 0.385, 0.13
박재상, SK, 0.288, 0.248, 0.339, 0.396, 0.735, 0.329, 0.12
백상원, 삼성, 0.339, 0.247, 0.359, 0.312, 0.671, 0.318, 0.11
