3.16,13:00,SK,3:0,넥센, 신재영, 장시윤, 서건창, 장영석, 김민성, 김하성, 박정음, 허정협, 고종욱, 윤석민, 김재현, 이택근, 강지광, None, None, None, None, None, None, None, 김광현, 정의윤, 최정, 박정권, 최정민, 이진석, 이대수, 이재원, 김민식, 김강민, 조동화, 이명기, 고메즈, None, None, None, None, None, None, None
3.16,13:00,삼성,8:3,kt, 피노, 김상현, 배병옥, 유한준, 강승훈, 마르테, 박기혁, 김민혁, 문상철, 박경수, 심우준, 이대형, 김종민, 윤요섭, 김사연, 이해창, 하준호, 김연훈, None, None, 장원삼, 최선호, 발디리스, 이흥련, 최형우, 이정식, 김정혁, 이승엽, 박한이, 김재현, 최민구, 구자욱, 박해민, 성의준, 배영섭, 이지영, 백상원, 김상수, 이영욱, None
3.18,13:00,LG,6:10,kt, 엄상백, 배병옥, 강승훈, 김민혁, 문상철, 심우준, 이대형, 김종민, 김동명, 윤요섭, 김사연, 이해창, 하준호, 김연훈, None, None, None, None, None, None, 류제국, 이병규, 양석환, 정성훈, 최경철, 정상호, 박재욱, 황목치승, 임훈, 서상우, 히메네스, 박용택, 채은성, 정주현, 홍창기, 윤진호, 이병규, 김재율, 백창수, 이천웅
3.18,13:00,두산,5:5,넥센, 피어밴드, 장시윤, 김하성, 박정음, 고종욱, 윤석민, 임병욱, 송성문, 홍성갑, 이택근, 강지광, 박동원, 서건창, 장영석, 김민성, 유재신, None, None, None, None, 장원준, 박세혁, 류지혁, 서예일, 오재일, 조수행, 허경민, 정수빈, 정진호, 최재훈, 최주환, 김동한, 박건우, 이우성, None, None, None, None, None, None
3.20,13:00,한화,1:0,롯데, 린드블럼, 문규현, 이우민, 아두치, 최준석, 박종윤, 강민호, 오승택, 정훈, 박헌도, 오현근, 손아섭, 황재균, 김대우, 이여상, 손용석, 김주현, None, None, None, 김재영, 로사리오, 신성현, 송주호, 장민석, 차일목, 김태균, 이성열, 강경학, 정근우, 최진행, 이용규, 조인성, None, None, None, None, None, None, None
3.20,13:00,KIA,10:6,두산, 니퍼트, 에반스, 김재호, 박세혁, 류지혁, 서예일, 조수행, 오재일, 정수빈, 최재훈, 정진호, 양의지, 최주환, 박건우, 민병헌, 최영진, 이우성, None, None, None, 지크, 김주형, 이범호, 김호령, 김민우, 김주찬, 황대인, 윤정우, 필, 박찬호, 윤완주, 고영우, 김다원, 백용환, 이호신, 나지완, None, None, None, None
3.20,13:00,kt,3:6,NC, 해커, 이종욱, 지석훈, 손시헌, 김태진, 조평호, 박석민, 이재율, 윤병호, 박광열, 조영훈, 김성욱, 나성범, 강민국, 김태군, 박세웅, 김종호, 이호준, None, None, 마리몬, 김상현, 배병옥, 유한준, 강승훈, 마르테, 문상철, 박경수, 심우준, 이대형, 김종민, 김동명, 윤요섭, 김사연, 하준호, 김연훈, None, None, None, None
3.20,13:00,LG,5:0,SK, 박민호, 박정권, 최정, 최정민, 이진석, 이대수, 김민식, 조성모, 고메즈, 정의윤, 최승준, 이재원, 조동화, 김강민, 박재상, 이명기, None, None, None, None, 소사, 양석환, 이병규, 정상호, 박재욱, 서상우, 황목치승, 임훈, 히메네스, 장준원, 채은성, 홍창기, 정주현, 윤진호, 이병규, 김재율, 백창수, 이천웅, None, None
3.20,13:00,삼성,4:1,넥센, 박주현, 박동원, 서건창, 김민성, 장영석, 김하성, 박정음, 윤석민, 임병욱, 이택근, 강지광, None, None, None, None, None, None, None, None, None, 김기태, 발디리스, 최형우, 이정식, 이승엽, 박한이, 구자욱, 박해민, 성의준, 배영섭, 이지영, 백상원, 김상수, 이영욱, None, None, None, None, None, None
3.22,13:00,한화,4:9,NC, 이재학, 이종욱, 지석훈, 손시헌, 조평호, 김태진, 박석민, 이재율, 용덕한, 김준완, 김성욱, 테임즈, 나성범, 강민국, 김태군, 김종호, 이호준, None, None, None, 마에스트리, 로사리오, 신성현, 장민석, 김태균, 이성열, 하주석, 최윤석, 이용규, 주현상, 조인성, 허도환, 김태완, 정근우, 최진행, None, None, None, None, None
