김지용, LG, 0.256, 80.1, 3.57, 1.76, 4.82, 4.62, 0.71
윤명준, 두산, 0.266, 71.9, 3.95, 2.22, 4.56, 4.58, 0.71
로저스, 한화, 0.333, 65.6, 4.30, 0.85, 4.67, 4.75, 0.69
심수창, 한화, 0.340, 63.2, 5.96, 1.16, 5.64, 5.77, 0.69
진해수, LG, 0.340, 74.2, 4.67, 1.15, 4.98, 4.81, 0.69
라라, SK, 0.394, 56.7, 6.70, 0.01, 5.41, 5.40, 0.67
백정현, 삼성, 0.346, 66.0, 5.77, 1.33, 4.65, 4.24, 0.66
김광수, KIA, 0.360, 70.7, 5.16, 1.20, 4.75, 4.71, 0.66
이동현, LG, 0.377, 70.3, 5.40, 0.48, 4.51, 4.31, 0.66
최원태, 넥센, 0.388, 61.1, 7.23, -0.11, 5.12, 5.21, 0.64
장시환, kt, 0.368, 61.4, 6.33, 0.32, 5.09, 5.03, 0.64
정성곤, kt, 0.332, 56.0, 5.83, -0.02, 4.91, 5.03, 0.61
박진형, 롯데, 0.330, 66.3, 5.81, 0.82, 5.53, 5.58, 0.60
고효준, KIA, 0.369, 60.1, 6.07, 0.29, 5.18, 4.85, 0.59
구창모, NC, 0.291, 77.8, 4.19, 1.68, 5.25, 5.05, 0.59
정대현, kt, 0.336, 56.2, 7.29, 0.41, 6.00, 6.19, 0.55
송승준, 롯데, 0.412, 54.8, 8.71, -0.46, 5.65, 5.60, 0.53
홍상삼, 두산, 0.429, 66.7, 5.25, 0.64, 3.21, 2.58, 0.53
코엘로, 넥센, 0.256, 75.9, 3.77, 1.99, 5.69, 5.82, 0.51
배우열, kt, 0.369, 70.7, 4.02, 0.76, 4.34, 4.35, 0.51
플란데, 삼성, 0.353, 55.7, 7.60, -0.46, 6.11, 6.05, 0.50
박근홍, 삼성, 0.330, 59.1, 7.46, 0.64, 5.62, 5.51, 0.50
장민재, 한화, 0.326, 75.4, 4.68, 2.57, 5.67, 5.71, 0.49
박희수, SK, 0.244, 73.1, 3.29, 2.61, 4.69, 4.80, 0.48
이현승, 두산, 0.310, 68.1, 4.84, 0.42, 5.27, 5.29, 0.47
장필준, 삼성, 0.336, 70.7, 5.12, 1.16, 5.12, 5.07, 0.46
박종훈, SK, 0.304, 66.2, 5.66, 1.72, 6.33, 6.53, 0.45
박민석, NC, 0.186, 95.0, 1.66, 1.27, 4.85, 4.51, 0.45
홍성민, 롯데, 0.303, 69.1, 4.46, 1.70, 4.90, 4.88, 0.45
송창식, 한화, 0.299, 65.9, 4.98, 1.40, 5.24, 5.26, 0.44
정수민, NC, 0.362, 67.5, 6.19, 0.93, 5.71, 5.95, 0.43
진야곱*, 두산, 0.326, 72.6, 4.94, 0.67, 5.65, 5.57, 0.43
고봉재, 두산, 0.403, 56.2, 6.17, -0.19, 3.45, 3.33, 0.42
이명우, 롯데, 0.343, 43.4, 9.27, -0.15, 5.61, 5.60, 0.41
장원삼, 삼성, 0.370, 60.0, 7.01, 0.25, 6.01, 6.03, 0.37
한승혁, KIA, 0.351, 68.2, 4.86, 0.80, 4.90, 4.77, 0.37
윤길현, 롯데, 0.351, 64.9, 6.00, 0.45, 4.96, 4.82, 0.36
서캠프, 한화, 0.380, 63.8, 6.31, 0.24, 5.22, 5.14, 0.33
엄상백, kt, 0.366, 60.4, 6.75, 0.35, 5.41, 5.45, 0.33
오현택, 두산, 0.400, 67.1, 6.10, 0.26, 4.76, 4.59, 0.32
임준혁, SK, 0.389, 46.2, 10.06, -0.70, 5.97, 6.11, 0.32
박준표, KIA, 0.331, 60.4, 6.27, 0.32, 5.09, 5.27, 0.29
노경은, 롯데, 0.348, 62.7, 6.85, 0.44, 6.16, 6.43, 0.27
