소사, LG, 0.327, 63.4, 4.03, 5.57, 3.50, 3.29, 7.18
밴헤켄, 넥센, 0.328, 69.6, 3.62, 6.13, 3.60, 3.41, 6.35
해커, NC, 0.276, 71.5, 3.13, 8.50, 3.78, 3.69, 6.10
윤성환, 삼성, 0.302, 76.0, 3.76, 6.70, 4.35, 4.20, 4.97
린드블럼, 롯데, 0.290, 78.8, 3.56, 7.83, 4.55, 4.44, 4.50
우규민, LG, 0.333, 73.6, 3.42, 5.50, 3.73, 3.62, 4.48
켈리, SK, 0.315, 71.2, 4.13, 5.66, 4.19, 4.17, 4.29
스튜어트, NC, 0.324, 80.3, 2.68, 5.45, 3.35, 3.16, 4.24
김광현, SK, 0.311, 72.4, 3.72, 5.97, 4.34, 4.24, 4.11
양현종, KIA, 0.277, 87.2, 2.44, 9.69, 4.56, 4.55, 3.72
유희관, 두산, 0.296, 75.2, 3.94, 7.52, 4.62, 4.66, 3.67
차우찬, 삼성, 0.304, 70.6, 4.79, 4.15, 4.83, 4.59, 3.66
레일리, 롯데, 0.304, 71.2, 3.91, 5.67, 4.74, 4.76, 3.28
장원준, 두산, 0.330, 72.4, 4.08, 5.17, 4.53, 4.59, 3.24
피가로, 삼성, 0.283, 77.0, 3.38, 6.14, 4.51, 4.56, 3.12
옥스프링, kt, 0.321, 70.5, 4.48, 4.16, 4.93, 4.95, 2.84
피어밴드, 넥센, 0.338, 71.7, 4.67, 4.02, 4.97, 4.99, 2.77
로저스, 한화, 0.286, 72.1, 2.97, 3.83, 3.32, 3.26, 2.74
루카스, LG, 0.333, 68.9, 4.93, 3.48, 4.75, 4.82, 2.72
정우람, SK, 0.304, 72.9, 3.21, 3.30, 2.63, 2.17, 2.59
클로이드, 삼성, 0.334, 66.4, 5.19, 2.74, 4.97, 4.93, 2.55
박종훈, SK, 0.340, 65.0, 5.19, 2.23, 4.36, 4.34, 2.54
윤석민, KIA, 0.339, 80.5, 2.96, 3.34, 3.23, 3.00, 2.52
니퍼트, 두산, 0.360, 64.3, 5.10, 1.63, 3.74, 3.69, 2.47
한현희, 넥센, 0.327, 68.6, 4.82, 2.58, 4.43, 4.26, 2.42
탈보트, 한화, 0.312, 67.1, 4.72, 3.52, 4.80, 4.91, 2.37
장시환, kt, 0.356, 68.6, 3.98, 2.76, 2.87, 2.66, 2.37
김재윤, kt, 0.426, 65.7, 4.23, 1.34, 2.09, 1.34, 2.23
송승준, 롯데, 0.312, 70.0, 4.75, 3.12, 4.77, 4.68, 2.20
임창용, 삼성, 0.339, 75.6, 2.83, 2.16, 2.24, 1.71, 2.13
손민한, NC, 0.315, 58.9, 4.89, 1.99, 4.22, 4.37, 2.05
안지만, 삼성, 0.366, 80.8, 3.33, 3.13, 3.49, 3.08, 2.04
이재학, NC, 0.289, 78.4, 4.10, 3.94, 5.11, 5.06, 1.91
스와잭*, 두산, 0.352, 66.2, 5.26, 1.34, 4.39, 4.38, 1.83
조무근, kt, 0.297, 74.6, 1.88, 2.68, 3.31, 3.03, 1.80
임준혁, KIA, 0.309, 73.5, 4.10, 3.51, 4.85, 5.01, 1.70
스틴슨, KIA, 0.314, 68.0, 4.96, 3.27, 5.07, 5.29, 1.66
심수창, 롯데, 0.407, 63.3, 6.01, 0.70, 4.28, 4.07, 1.66
마야, 두산, 0.374, 51.5, 8.17, 0.18, 4.43, 4.38, 1.64
임창민, NC, 0.318, 73.7, 3.80, 1.97, 3.72, 3.40, 1.63
임정우, LG, 0.361, 69.4, 5.04, 1.69, 4.40, 4.36, 1.61
밴와트, SK, 0.376, 71.8, 4.63, 1.36, 3.79, 3.64, 1.58
이태양*, NC, 0.309, 81.3, 3.67, 4.35, 5.04, 5.00, 1.47
조상우, 넥센, 0.258, 71.4, 3.09, 3.51, 3.71, 3.60, 1.46
