최형우, 삼성, 0.398, 0.376, 0.464, 0.651, 1.115, 0.469, 8.93
김태균, 한화, 0.410, 0.365, 0.475, 0.569, 1.044, 0.452, 7.57
테임즈, NC, 0.333, 0.321, 0.427, 0.679, 1.106, 0.453, 6.38
최정, SK, 0.306, 0.288, 0.403, 0.580, 0.983, 0.416, 6.30
김재환*, 두산, 0.348, 0.325, 0.407, 0.628, 1.035, 0.432, 5.92
강민호, 롯데, 0.377, 0.323, 0.433, 0.549, 0.982, 0.424, 5.75
박석민, NC, 0.326, 0.307, 0.404, 0.578, 0.982, 0.417, 5.27
손아섭, 롯데, 0.372, 0.323, 0.418, 0.468, 0.886, 0.397, 5.21
황재균, 롯데, 0.339, 0.335, 0.394, 0.570, 0.964, 0.407, 5.20
이범호, KIA, 0.292, 0.310, 0.391, 0.562, 0.953, 0.402, 4.96
나지완, KIA, 0.342, 0.308, 0.451, 0.571, 1.022, 0.442, 4.93
양의지, 두산, 0.293, 0.319, 0.405, 0.569, 0.974, 0.414, 4.69
박경수, kt, 0.346, 0.313, 0.412, 0.522, 0.934, 0.406, 4.44
이용규, 한화, 0.371, 0.352, 0.438, 0.427, 0.865, 0.398, 4.35
구자욱, 삼성, 0.379, 0.343, 0.420, 0.547, 0.967, 0.421, 4.26
박건우, 두산, 0.371, 0.335, 0.390, 0.550, 0.940, 0.403, 4.21
민병헌, 두산, 0.368, 0.325, 0.396, 0.495, 0.891, 0.391, 4.15
서건창, 넥센, 0.351, 0.325, 0.406, 0.441, 0.847, 0.382, 4.13
오재일, 두산, 0.324, 0.316, 0.411, 0.592, 1.003, 0.423, 4.10
김주찬, KIA, 0.362, 0.346, 0.386, 0.566, 0.952, 0.405, 3.95
정근우, 한화, 0.317, 0.310, 0.381, 0.464, 0.845, 0.372, 3.88
박민우, NC, 0.396, 0.343, 0.420, 0.428, 0.848, 0.386, 3.82
에반스, 두산, 0.338, 0.308, 0.410, 0.565, 0.975, 0.416, 3.69
나성범, NC, 0.371, 0.309, 0.388, 0.497, 0.885, 0.386, 3.68
오지환, LG, 0.320, 0.280, 0.387, 0.494, 0.881, 0.386, 3.68
히메네스, LG, 0.310, 0.308, 0.364, 0.526, 0.890, 0.379, 3.59
서동욱, KIA, 0.359, 0.292, 0.386, 0.496, 0.882, 0.385, 3.34
김민성, 넥센, 0.334, 0.306, 0.367, 0.502, 0.869, 0.372, 3.21
로사리오, 한화, 0.337, 0.321, 0.367, 0.593, 0.960, 0.401, 3.17
김재호, 두산, 0.330, 0.310, 0.389, 0.440, 0.829, 0.369, 3.14
윤석민, 넥센, 0.342, 0.334, 0.420, 0.545, 0.965, 0.415, 3.12
송광민, 한화, 0.366, 0.325, 0.366, 0.508, 0.874, 0.376, 3.12
김하성, 넥센, 0.297, 0.281, 0.358, 0.477, 0.835, 0.363, 3.06
유한준, kt, 0.345, 0.336, 0.404, 0.493, 0.897, 0.394, 3.05
대니돈, 넥센, 0.321, 0.295, 0.399, 0.494, 0.893, 0.389, 2.86
손시헌, NC, 0.343, 0.305, 0.394, 0.422, 0.816, 0.372, 2.78
이승엽, 삼성, 0.316, 0.303, 0.380, 0.518, 0.898, 0.387, 2.67
박용택, LG, 0.380, 0.346, 0.412, 0.458, 0.870, 0.386, 2.44
마르테, kt, 0.249, 0.265, 0.360, 0.517, 0.877, 0.374, 2.32
김문호, 롯데, 0.364, 0.325, 0.401, 0.430, 0.831, 0.376, 2.22
이재원, SK, 0.318, 0.290, 0.364, 0.436, 0.800, 0.352, 2.14
이호준, NC, 0.322, 0.298, 0.396, 0.506, 0.902, 0.388, 2.07
김성현, SK, 0.329, 0.319, 0.366, 0.428, 0.794, 0.352, 1.99
손주인, LG, 0.349, 0.322, 0.385, 0.412, 0.797, 0.362, 1.88
이종욱, NC, 0.350, 0.305, 0.376, 0.408, 0.784, 0.355, 1.87
브렛필, KIA, 0.327, 0.313, 0.357, 0.511, 0.868, 0.371, 1.85
김강민, SK, 0.368, 0.298, 0.371, 0.437, 0.808, 0.359, 1.84
이진영, kt, 0.351, 0.332, 0.403, 0.480, 0.883, 0.389, 1.83
김주형, KIA, 0.287, 0.281, 0.355, 0.499, 0.854, 0.368, 1.82
박한이, 삼성, 0.342, 0.301, 0.373, 0.481, 0.854, 0.371, 1.74
정의윤, SK, 0.318, 0.311, 0.347, 0.510, 0.857, 0.365, 1.73
고종욱, 넥센, 0.399, 0.334, 0.370, 0.455, 0.825, 0.365, 1.72
박해민, 삼성, 0.347, 0.300, 0.357, 0.410, 0.767, 0.344, 1.63
고메즈, SK, 0.307, 0.283, 0.324, 0.489, 0.813, 0.344, 1.61
이택근, 넥센, 0.338, 0.309, 0.389, 0.422, 0.811, 0.365, 1.44
김용의, LG, 0.399, 0.318, 0.388, 0.412, 0.800, 0.365, 1.41
허경민, 두산, 0.309, 0.286, 0.360, 0.385, 0.745, 0.339, 1.30
채은성, LG, 0.358, 0.313, 0.365, 0.444, 0.809, 0.357, 1.29
최준석, 롯데, 0.317, 0.262, 0.384, 0.468, 0.852, 0.374, 1.27
최승준, SK, 0.296, 0.266, 0.364, 0.578, 0.942, 0.393, 1.24
최재원, 삼성, 0.371, 0.333, 0.456, 0.519, 0.975, 0.431, 1.22
조영훈, NC, 0.410, 0.335, 0.408, 0.497, 0.905, 0.395, 1.17
발디리스, 삼성, 0.250, 0.266, 0.389, 0.461, 0.850, 0.377, 1.16
박정음, 넥센, 0.385, 0.309, 0.395, 0.413, 0.808, 0.369, 1.05
정성훈, LG, 0.365, 0.322, 0.380, 0.435, 0.815, 0.363, 1.03
김준완, NC, 0.340, 0.261, 0.416, 0.308, 0.724, 0.357, 0.99
신본기, 롯데, 0.353, 0.309, 0.451, 0.395, 0.846, 0.401, 0.98
이병규(7), LG, 0.351, 0.272, 0.389, 0.400, 0.789, 0.361, 0.98
백상원, 삼성, 0.329, 0.288, 0.361, 0.364, 0.725, 0.333, 0.95
조동찬, 삼성, 0.330, 0.275, 0.348, 0.449, 0.797, 0.349, 0.95
이성열, 한화, 0.373, 0.288, 0.350, 0.505, 0.855, 0.370, 0.91
아두치*, 롯데, 0.349, 0.291, 0.336, 0.466, 0.802, 0.344, 0.88
이홍구, KIA, 0.320, 0.266, 0.322, 0.461, 0.783, 0.334, 0.87
맥스웰, 롯데, 0.365, 0.288, 0.414, 0.500, 0.914, 0.404, 0.84
노수광, KIA, 0.382, 0.309, 0.373, 0.406, 0.779, 0.354, 0.80
김성욱, NC, 0.288, 0.265, 0.334, 0.467, 0.801, 0.347, 0.80
문선재, LG, 0.329, 0.288, 0.344, 0.541, 0.885, 0.374, 0.79
나주환, SK, 0.370, 0.386, 0.435, 0.684, 1.119, 0.471, 0.75
모창민, NC, 0.364, 0.331, 0.370, 0.504, 0.874, 0.375, 0.75
김준태, 롯데, 0.403, 0.275, 0.385, 0.367, 0.752, 0.348, 0.75
이지영, 삼성, 0.309, 0.297, 0.328, 0.382, 0.710, 0.317, 0.74
박동원, 넥센, 0.287, 0.248, 0.304, 0.416, 0.720, 0.313, 0.70
전민수, kt, 0.378, 0.305, 0.373, 0.423, 0.796, 0.358, 0.64
신성현, 한화, 0.375, 0.278, 0.360, 0.481, 0.841, 0.367, 0.64
김재현, SK, 0.417, 0.321, 0.378, 0.429, 0.807, 0.365, 0.63
신종길, KIA, 0.399, 0.310, 0.385, 0.390, 0.775, 0.358, 0.60
이대형, kt, 0.375, 0.320, 0.368, 0.358, 0.726, 0.336, 0.59
이흥련, 삼성, 0.314, 0.260, 0.315, 0.453, 0.768, 0.330, 0.56
김민식, SK, 0.337, 0.257, 0.359, 0.361, 0.720, 0.334, 0.56
최진행*, 한화, 0.415, 0.329, 0.434, 0.400, 0.834, 0.390, 0.53
김동엽, SK, 0.433, 0.336, 0.360, 0.517, 0.877, 0.376, 0.52
이천웅, LG, 0.338, 0.293, 0.376, 0.402, 0.778, 0.354, 0.52
윤정우, KIA, 0.353, 0.299, 0.400, 0.463, 0.863, 0.386, 0.51
유강남, LG, 0.291, 0.266, 0.321, 0.384, 0.705, 0.313, 0.47
윤요섭, kt, 0.250, 0.238, 0.356, 0.429, 0.785, 0.348, 0.45
박헌도, 롯데, 0.366, 0.261, 0.378, 0.493, 0.871, 0.381, 0.43
박정권, SK, 0.320, 0.277, 0.337, 0.460, 0.797, 0.346, 0.42
최정민, SK, 0.468, 0.329, 0.386, 0.368, 0.754, 0.350, 0.41
박재상, SK, 0.327, 0.298, 0.363, 0.431, 0.794, 0.353, 0.40
오정복, kt, 0.322, 0.304, 0.358, 0.402, 0.760, 0.340, 0.39
서상우, LG, 0.343, 0.252, 0.394, 0.405, 0.799, 0.365, 0.38
하주석, 한화, 0.367, 0.279, 0.323, 0.410, 0.733, 0.323, 0.37
류지혁, 두산, 0.352, 0.288, 0.356, 0.407, 0.763, 0.342, 0.36
김경언, 한화, 0.321, 0.264, 0.363, 0.390, 0.753, 0.342, 0.36
정훈, 롯데, 0.322, 0.262, 0.362, 0.338, 0.700, 0.330, 0.36
최원준, KIA, 0.500, 0.458, 0.458, 0.625, 1.083, 0.470, 0.35
유민상, kt, 0.322, 0.282, 0.375, 0.404, 0.779, 0.353, 0.35
정진호, 두산, 0.391, 0.375, 0.531, 0.458, 0.989, 0.469, 0.34
국해성, 두산, 0.339, 0.278, 0.368, 0.430, 0.798, 0.356, 0.32
이원석, 두산, 0.250, 0.316, 0.364, 0.789, 1.153, 0.444, 0.30
김지수, 넥센, 0.315, 0.286, 0.353, 0.440, 0.793, 0.349, 0.30
박승욱, SK, 0.368, 0.276, 0.354, 0.425, 0.779, 0.346, 0.29
오재원, 두산, 0.322, 0.272, 0.358, 0.356, 0.714, 0.328, 0.29
